Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Date,Ranking
RealStrong,37985.7,136,90,41,5,66.18%,2026-02-03,1
BigTree,9954.6,66,45,20,1,68.18%,2026-02-03,2
Peter,7661.8,148,87,59,2,58.78%,2026-02-03,3
mimi,5379.6,58,38,19,1,65.52%,2026-02-03,4
Shawn,3204.5,26,16,10,0,61.54%,2026-02-03,5
BigBrave,3154.9,70,40,27,3,57.14%,2026-02-03,6
Billion,1103.3,2,2,0,0,100.00%,2026-02-03,7
Jerry,856.7,65,39,26,0,60.00%,2026-02-03,8
Dean,-36.3,5,3,2,0,60.00%,2026-02-03,9
Jianyu,-620.0,1,0,1,0,0.00%,2026-02-03,10
BattleMan,-1183.7,2,1,1,0,50.00%,2026-02-03,11
Rex,-1630.0,8,2,6,0,25.00%,2026-02-03,12
Wayne,-1999.6,14,7,7,0,50.00%,2026-02-03,13
Panda,-2235.7,27,14,13,0,51.85%,2026-02-03,14
Figo,-3031.9,34,14,20,0,41.18%,2026-02-03,15
Anton,-3907.2,128,70,55,3,54.69%,2026-02-03,16
Albert,-5390.9,18,7,11,0,38.89%,2026-02-03,17
Citizen,-6061.7,79,31,46,2,39.24%,2026-02-03,18
Onion,-7613.3,92,42,50,0,45.65%,2026-02-03,19
West,-8018.9,119,62,55,2,52.10%,2026-02-03,20
FatFish,-9730.0,4,1,3,0,25.00%,2026-02-03,21
DoubleCloud,-10365.8,48,26,22,0,54.17%,2026-02-03,22
topOne,-14938.8,80,39,40,1,48.75%,2026-02-03,23
Seek,-26811.2,50,26,24,0,52.00%,2026-02-03,24
