Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Date,Ranking
RealStrong,30336.3,130,85,40,5,65.38%,2026-01-12,1
BigTree,9954.6,66,45,20,1,68.18%,2026-01-12,2
mimi,5379.6,58,38,19,1,65.52%,2026-01-12,3
Peter,4671.4,141,83,56,2,58.87%,2026-01-12,4
Shawn,3204.5,26,16,10,0,61.54%,2026-01-12,5
BigBrave,2057.6,67,37,27,3,55.22%,2026-01-12,6
Jerry,149.9,64,38,26,0,59.38%,2026-01-12,7
Dean,-36.3,5,3,2,0,60.00%,2026-01-12,8
Jianyu,-620.0,1,0,1,0,0.00%,2026-01-12,9
Panda,-735.7,26,14,12,0,53.85%,2026-01-12,10
Figo,-1396.5,30,13,17,0,43.33%,2026-01-12,11
BattleMan,-1400.0,1,0,1,0,0.00%,2026-01-12,12
Rex,-1630.0,8,2,6,0,25.00%,2026-01-12,13
Wayne,-1999.6,14,7,7,0,50.00%,2026-01-12,14
Anton,-4549.7,123,67,54,2,54.47%,2026-01-12,15
West,-5142.9,112,59,51,2,52.68%,2026-01-12,16
Albert,-5390.9,18,7,11,0,38.89%,2026-01-12,17
Citizen,-5601.0,77,30,45,2,38.96%,2026-01-12,18
FatFish,-9000.0,3,1,2,0,33.33%,2026-01-12,19
Onion,-9173.0,86,38,48,0,44.19%,2026-01-12,20
DoubleCloud,-9888.7,44,23,21,0,52.27%,2026-01-12,21
topOne,-13764.4,76,38,37,1,50.00%,2026-01-12,22
Seek,-19669.5,47,25,22,0,53.19%,2026-01-12,23
