Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Ranking
RealStrong,27192.320000000003,96,66,27,3,68.75%,1
BigTree,7857.910000000002,51,37,14,0,72.55%,2
Peter,6835.329999999999,105,63,41,1,60.00%,3
BigBrave,4386.400000000001,42,29,12,1,69.05%,4
Shawn,4328.3,17,12,5,0,70.59%,5
mimi,2206.44,44,28,16,0,63.64%,6
Panda,2182.6400000000003,17,10,7,0,58.82%,7
Figo,280.0,10,4,6,0,40.00%,8
Dean,-36.29000000000002,5,3,2,0,60.00%,9
Wayne,-176.2000000000001,9,5,4,0,55.56%,10
Jianyu,-620.0,1,0,1,0,0.00%,11
BattleMan,-1400.0,1,0,1,0,0.00%,12
Rex,-1630.0,8,2,6,0,25.00%,13
Jerry,-1825.8799999999999,53,29,24,0,54.72%,14
Citizen,-1955.7299999999998,55,24,31,0,43.64%,15
FatFish,-2530.0,1,0,1,0,0.00%,16
DoubleCloud,-5335.69,17,8,9,0,47.06%,17
Albert,-5390.86,18,7,11,0,38.89%,18
topOne,-7515.440000000002,50,24,25,1,48.00%,19
Anton,-8671.380000000001,89,45,43,1,50.56%,20
Onion,-9202.15,53,24,29,0,45.28%,21
West,-15891.960000000003,86,43,43,0,50.00%,22
Seek,-19080.39,41,21,20,0,51.22%,23
