Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Ranking
RealStrong,10767.27,49,29,17,3,59.18%,1
BigTree,7870.0,21,16,5,0,76.19%,2
Dean,1672.0,2,2,0,0,100.00%,3
mimi,545.0,28,19,9,0,67.86%,4
Shawn,541.0,6,4,2,0,66.67%,5
Panda,-72.0,4,3,1,0,75.00%,6
BigBrave,-72.73000000000002,14,9,4,1,64.29%,7
Jianyu,-620.0,1,0,1,0,0.00%,8
East,-641.48,47,22,24,1,46.81%,9
Peter,-659.0,48,28,19,1,58.33%,10
Figo,-1000.0,1,0,1,0,0.00%,11
West,-1099.0,37,19,18,0,51.35%,12
BattleMan,-1400.0,1,0,1,0,0.00%,13
Jerry,-1557.3400000000001,39,20,19,0,51.28%,14
Albert,-3471.0,12,5,7,0,41.67%,15
Citizen,-3983.0,32,11,21,0,34.38%,16
topOne,-5168.0,20,9,10,1,45.00%,17
Onion,-6066.719999999999,25,10,15,0,40.00%,18
zifan,-11719.0,23,12,11,0,52.17%,19
