Time,ServiceFee_Rate,Player,Chips,WinOrLose,Value,FinalChips
2025-10-31,324.1,RealStrong,1300,Win,1300,1146.26
2025-10-31,324.1,Peter,115,Win,115,102.87
2025-10-31,324.1,West,200,Win,200,177.38
2025-10-31,324.1,Anton,80,Win,80,71.95
2025-10-31,324.1,DoubleCloud,435,Win,435,384.54
2025-10-31,324.1,BigBrave,0,Peace,0,0.00
2025-10-31,324.1,TopOne,-500,Lose,-500,-500.00
2025-10-31,324.1,Onion,-460,Lose,-460,-460.00
2025-10-31,324.1,Panda,-450,Lose,-450,-450.00
2025-10-31,324.1,Citizen,-450,Lose,-450,-450.00
2025-10-31,324.1,Shawn,-270,Lose,-270,-270.00
