Time,ServiceFee_Rate,Player,Chips,WinOrLose,Value,FinalChips
2025-10-31,324.1,RealStrong,1300,Win,1300,1146.26
2025-10-31,324.1,Peter,115,Win,115,102.87
2025-10-31,324.1,West,200,Win,200,177.38
2025-10-31,324.1,Anton,80,Win,80,71.95
2025-10-31,324.1,DoubleCloud,435,Win,435,384.54
2025-10-31,324.1,BigBrave,0,Peace,0,0.00
2025-10-31,324.1,topOne,-500,Lose,-500,-500.00
2025-10-31,324.1,Onion,-460,Lose,-460,-460.00
2025-10-31,324.1,Panda,-450,Lose,-450,-450.00
2025-10-31,324.1,Citizen,-450,Lose,-450,-450.00
2025-10-31,324.1,Shawn,-270,Lose,-270,-270.00
2025-11-05,238,RealStrong,210,Win,210,183.83
2025-11-05,238,Peter,-340,Lose,-340,-340.00
2025-11-05,238,BigBrave,-570,Lose,-570,-570.00
2025-11-05,238,Wayne,210,Win,210,183.83
2025-11-05,238,Citizen,370,Win,370,323.90
2025-11-05,238,DoubleCloud,470,Win,470,411.43
2025-11-05,238,topOne,150,Win,150,131.31
2025-11-05,238,Anton,500,Win,500,437.70
2025-11-05,238,Onion,-1000,Lose,-1000,-1000.00
2025-11-06,259.8,RealStrong,-90,Lose,-90,-90.00
2025-11-06,259.8,BigTree,1530,Win,1530,1317.44
2025-11-06,259.8,Peter,-60,Lose,-60,-60.00
2025-11-06,259.8,BigBrave,150,Win,150,129.16
2025-11-06,259.8,mimi,-80,Lose,-80,-80.00
2025-11-06,259.8,Panda,-1400,Lose,-1400,-1400.00
2025-11-06,259.8,Wayne,-90,Lose,-90,-90.00
2025-11-06,259.8,DoubleCloud,190,Win,190,163.60
2025-11-06,259.8,Anton,-150,Lose,-150,-150.00
2025-11-07,287.7,RealStrong,180,Win,180,167.73
2025-11-07,287.7,Peter,510,Win,510,475.23
2025-11-07,287.7,Shawn,-490,Lose,-490,-490.00
2025-11-07,287.7,BigBrave,1200,Win,1200,1118.19
2025-11-07,287.7,Figo,-90,Lose,-90,-90.00
2025-11-07,287.7,Wayne,180,Win,180,167.73
2025-11-07,287.7,Citizen,-290,Lose,-290,-290.00
2025-11-07,287.7,DoubleCloud,1450,Win,1450,1351.15
2025-11-07,287.7,Anton,-3350,Lose,-3350,-3350.00
2025-11-07,287.7,West,700,Win,700,652.28
2025-11-12,237,RealStrong,-630,Lose,-630,-630.00
2025-11-12,237,BigTree,1155,Win,1155,1088.15
2025-11-12,237,Peter,1170,Win,1170,1102.29
2025-11-12,237,BigBrave,-200,Lose,-200,-200.00
2025-11-12,237,Citizen,-995,Lose,-995,-995.00
2025-11-12,237,DoubleCloud,-1000,Lose,-1000,-1000.00
2025-11-12,237,topOne,490,Win,490,461.64
2025-11-12,237,Anton,1280,Win,1280,1205.92
2025-11-12,237,West,-1270,Lose,-1270,-1270.00
2025-11-14,242,RealStrong,-885,Lose,-885,-885.00
2025-11-14,242,BigTree,1830,Win,1830,1716.45
2025-11-14,242,Peter,650,Win,650,609.67
2025-11-14,242,BigBrave,125,Win,125,117.24
2025-11-14,242,Wayne,-885,Lose,-885,-885.00
2025-11-14,242,Citizen,125,Win,125,117.24
2025-11-14,242,DoubleCloud,-980,Lose,-980,-980.00
2025-11-14,242,Anton,1170,Win,1170,1097.40
2025-11-14,242,Onion,-100,Lose,-100,-100.00
2025-11-14,242,West,-1050,Lose,-1050,-1050.00
2025-11-18,284.6,RealStrong,-1200,Lose,-1200,-1200.00
2025-11-18,284.6,BigTree,-1000,Lose,-1000,-1000.00
2025-11-18,284.6,Peter,-500,Lose,-500,-500.00
2025-11-18,284.6,Shawn,500,Win,500,469.79
2025-11-18,284.6,mimi,690,Win,690,648.31
2025-11-18,284.6,Figo,320,Win,320,300.66
2025-11-18,284.6,Wayne,-1200,Lose,-1200,-1200.00
2025-11-18,284.6,topOne,1900,Win,1900,1785.19
2025-11-18,284.6,Anton,1300,Win,1300,1221.45
2025-11-18,284.6,Onion,-810,Lose,-810,-810.00
2025-11-19,225,RealStrong,-50,Lose,-50,-50.00
2025-11-19,225,Peter,1070,Win,1070,941.26
2025-11-19,225,BigBrave,-50,Lose,-50,-50.00
2025-11-19,225,mimi,600,Win,600,527.81
2025-11-19,225,Panda,200,Win,200,175.94
2025-11-19,225,Citizen,-1000,Lose,-1000,-1000.00
2025-11-19,225,DoubleCloud,-500,Lose,-500,-500.00
2025-11-19,225,Anton,-270,Lose,-270,-270.00
2025-11-20,197,RealStrong,-410,Lose,-410,-410.00
2025-11-20,197,BigTree,-170,Lose,-170,-170.00
2025-11-20,197,Peter,800,Win,800,736.71
2025-11-20,197,BigBrave,-260,Lose,-260,-260.00
2025-11-20,197,Citizen,1000,Win,1000,920.88
2025-11-20,197,DoubleCloud,190,Win,190,174.97
2025-11-20,197,topOne,-1370,Lose,-1370,-1370.00
2025-11-20,197,Onion,-280,Lose,-280,-280.00
2025-11-20,197,West,500,Win,500,460.44
2025-11-21,248,RealStrong,-2500,Lose,-2500,-2500.00
2025-11-21,248,BigTree,-2000,Lose,-2000,-2000.00
2025-11-21,248,Shawn,-840,Lose,-840,-840.00
2025-11-21,248,mimi,2800,Win,2800,2721.14
2025-11-21,248,Panda,-1200,Lose,-1200,-1200.00
2025-11-21,248,DoubleCloud,430,Win,430,417.89
2025-11-21,248,topOne,-2265,Lose,-2265,-2265.00
2025-11-21,248,Anton,1800,Win,1800,1749.30
2025-11-21,248,Onion,3775,Win,3775,3668.67
2025-11-23,0,Peter,1500,Win,1500,1500.00
2025-11-23,0,FatFish,-6500,Lose,-6500,-6500.00
2025-11-23,0,West,5000,Win,5000,5000.00
2025-11-25,298.8,RealStrong,2260,Win,2260,2045.62
2025-11-25,298.8,Peter,-1865,Lose,-1865,-1865.00
2025-11-25,298.8,BigBrave,-200,Lose,-200,-200.00
2025-11-25,298.8,Citizen,100,Win,100,90.51
2025-11-25,298.8,Anton,-300,Lose,-300,-300.00
2025-11-25,298.8,Onion,-290,Lose,-290,-290.00
2025-11-25,298.8,topOne,-495,Lose,-495,-495.00
2025-11-25,298.8,West,790,Win,790,715.06
